,ResponseId,Condition,influencer_video,susceptfriend_score,vapenext6months_score,vapecurios_score,suscept_total,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,suscept_pretest,video_id,influencer,credibility_median,video_number,credibility_median_rescale,sm_freq_use,sub_30dayuse,cigcan_30dayuse,credibility_median_binary
59,R_168XlyYj0t89cYp,Young Treat,vapefriend_mae,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video5_cred_mae,cred_mae,50,5,1.179485582,1,0,0,1
60,R_168XlyYj0t89cYp,Young Treat,vapefriend_zanx,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video6_cred_zanx,cred_zanx,38,6,0.661511544,1,0,0,1
61,R_16hGQxhUhGdn4kz,Old Control,vapefriend_aby,4,4,4,0,Female,No,14,0,1,0,0,0,1,1,video1_cred_aby,cred_aby,31,1,0.359360022,1,0,0,1
62,R_16hGQxhUhGdn4kz,Old Control,vapefriend_anna,4,4,4,0,Female,No,14,0,1,0,0,0,1,1,video2_cred_anna,cred_anna,12,2,-0.460765538,1,0,0,0
63,R_16hGQxhUhGdn4kz,Old Control,vapefriend_cham,4,4,4,0,Female,No,14,0,1,0,0,0,1,1,video3_cred_cham,cred_cham,13,3,-0.417601034,1,0,0,0
64,R_16hGQxhUhGdn4kz,Old Control,vapefriend_fab,4,4,4,0,Female,No,14,0,1,0,0,0,1,1,video4_cred_fab,cred_fab,53,4,1.308979091,1,0,0,1
65,R_16hGQxhUhGdn4kz,Old Control,vapefriend_mae,4,4,4,0,Female,No,14,0,1,0,0,0,1,1,video5_cred_mae,cred_mae,0,5,-0.978739575,1,0,0,0
66,R_16hGQxhUhGdn4kz,Old Control,vapefriend_zanx,4,4,4,0,Female,No,14,0,1,0,0,0,1,1,video6_cred_zanx,cred_zanx,0,6,-0.978739575,1,0,0,0
67,R_17kuPL1ybSFRqnM,Young Control,vapefriend_aby,4,4,4,0,Female,No,16,1,0,0,0,0,1,0,video1_cred_aby,cred_aby,0,1,-0.978739575,1,0,0,0
68,R_17kuPL1ybSFRqnM,Young Control,vapefriend_anna,4,4,4,0,Female,No,16,1,0,0,0,0,1,0,video2_cred_anna,cred_anna,5,2,-0.76291706,1,0,0,0
69,R_17kuPL1ybSFRqnM,Young Control,vapefriend_cham,4,4,4,0,Female,No,16,1,0,0,0,0,1,0,video3_cred_cham,cred_cham,10,3,-0.547094544,1,0,0,0
70,R_17kuPL1ybSFRqnM,Young Control,vapefriend_fab,4,4,4,0,Female,No,16,1,0,0,0,0,1,0,video4_cred_fab,cred_fab,0,4,-0.978739575,1,0,0,0
71,R_17kuPL1ybSFRqnM,Young Control,vapefriend_mae,4,4,4,0,Female,No,16,1,0,0,0,0,1,0,video5_cred_mae,cred_mae,7,5,-0.676588053,1,0,0,0
72,R_17kuPL1ybSFRqnM,Young Control,vapefriend_zanx,4,4,4,0,Female,No,16,1,0,0,0,0,1,0,video6_cred_zanx,cred_zanx,0,6,-0.978739575,1,0,0,0
73,R_18toCMgQjhdk3bb,Young Control,vapefriend_aby,3,3,2,1,Male,Yes,17,0,0,0,0,1,0,1,video1_cred_aby,cred_aby,73,1,2.172269154,1,0,0,1
74,R_18toCMgQjhdk3bb,Young Control,vapefriend_anna,3,3,2,1,Male,Yes,17,0,0,0,0,1,0,1,video2_cred_anna,cred_anna,77,2,2.344927166,1,0,0,1
75,R_18toCMgQjhdk3bb,Young Control,vapefriend_cham,2,4,3,1,Male,Yes,17,0,0,0,0,1,0,1,video3_cred_cham,cred_cham,67,3,1.913282135,1,0,0,1
76,R_18toCMgQjhdk3bb,Young Control,vapefriend_fab,3,3,4,1,Male,Yes,17,0,0,0,0,1,0,1,video4_cred_fab,cred_fab,81,4,2.517585179,1,0,0,1
77,R_18toCMgQjhdk3bb,Young Control,vapefriend_mae,2,3,3,1,Male,Yes,17,0,0,0,0,1,0,1,video5_cred_mae,cred_mae,73,5,2.172269154,1,0,0,1
78,R_18toCMgQjhdk3bb,Young Control,vapefriend_zanx,2,3,3,1,Male,Yes,17,0,0,0,0,1,0,1,video6_cred_zanx,cred_zanx,71,6,2.085940147,1,0,0,1
79,R_1AG4IjdDDq9AHNx,Old Control,vapefriend_aby,4,4,4,0,Male,No,14,1,0,0,0,0,0,1,video1_cred_aby,cred_aby,NA,1,NA,3,0,0,NA
80,R_1AG4IjdDDq9AHNx,Old Control,vapefriend_anna,NA,NA,NA,NA,Male,No,14,1,0,0,0,0,0,1,video2_cred_anna,cred_anna,6,2,-0.719752556,3,0,0,0
81,R_1AG4IjdDDq9AHNx,Old Control,vapefriend_cham,4,4,4,0,Male,No,14,1,0,0,0,0,0,1,video3_cred_cham,cred_cham,NA,3,NA,3,0,0,NA
82,R_1AG4IjdDDq9AHNx,Old Control,vapefriend_fab,4,4,4,0,Male,No,14,1,0,0,0,0,0,1,video4_cred_fab,cred_fab,4,4,-0.806081563,3,0,0,0
83,R_1AG4IjdDDq9AHNx,Old Control,vapefriend_mae,4,4,4,0,Male,No,14,1,0,0,0,0,0,1,video5_cred_mae,cred_mae,NA,5,NA,3,0,0,NA
84,R_1AG4IjdDDq9AHNx,Old Control,vapefriend_zanx,4,4,4,0,Male,No,14,1,0,0,0,0,0,1,video6_cred_zanx,cred_zanx,NA,6,NA,3,0,0,NA
85,R_1Brsjsmziz8Zwpz,Young Control,vapefriend_aby,4,4,4,0,Female,No,16,1,1,0,0,0,1,0,video1_cred_aby,cred_aby,30,1,0.316195519,1,0,0,1
86,R_1Brsjsmziz8Zwpz,Young Control,vapefriend_anna,4,4,4,0,Female,No,16,1,1,0,0,0,1,0,video2_cred_anna,cred_anna,8,2,-0.63342355,1,0,0,0
87,R_1Brsjsmziz8Zwpz,Young Control,vapefriend_cham,4,4,4,0,Female,No,16,1,1,0,0,0,1,0,video3_cred_cham,cred_cham,17,3,-0.244943022,1,0,0,1
88,R_1Brsjsmziz8Zwpz,Young Control,vapefriend_fab,4,4,4,0,Female,No,16,1,1,0,0,0,1,0,video4_cred_fab,cred_fab,21,4,-0.072285009,1,0,0,1
89,R_1Brsjsmziz8Zwpz,Young Control,vapefriend_mae,4,4,4,0,Female,No,16,1,1,0,0,0,1,0,video5_cred_mae,cred_mae,39,5,0.704676047,1,0,0,1
90,R_1Brsjsmziz8Zwpz,Young Control,vapefriend_zanx,4,4,4,0,Female,No,16,1,1,0,0,0,1,0,video6_cred_zanx,cred_zanx,28,6,0.229866513,1,0,0,1
