,ResponseId,Condition,influencer_video,harm_score,harm_score_factor,Condition,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,harmvape_pretest,video_id,influencer,credibility_median,video_number,credibility_median_rescale,sm_freq_use,sub_30dayuse,harm_pretest_binary,credibility_median_binary
57,R_12z7P7EazBAxlGy,Old Control,harm_cham,1,1,Old Control,Male,No,16,1,0,0,0,0,1,3,video3_cred_cham,cred_cham,70,3,1.347043603,2,1,1,1
58,R_12z7P7EazBAxlGy,Old Control,harm_fab,3,3,Old Control,Male,No,16,1,0,0,0,0,1,3,video4_cred_fab,cred_fab,77,4,1.593199208,2,1,1,1
59,R_12z7P7EazBAxlGy,Old Control,harm_mae,2,2,Old Control,Male,No,16,1,0,0,0,0,1,3,video5_cred_mae,cred_mae,83,5,1.804189727,2,1,1,1
60,R_12z7P7EazBAxlGy,Old Control,harm_zanx,3,3,Old Control,Male,No,16,1,0,0,0,0,1,3,video6_cred_zanx,cred_zanx,76,6,1.558034122,2,1,1,1
61,R_139WbdH6CicUlXj,Young Control,harm_aby,1,1,Young Control,Male,No,17,1,0,0,0,0,1,2,video1_cred_aby,cred_aby,62,1,1.065722911,3,1,0,1
62,R_139WbdH6CicUlXj,Young Control,harm_anna,3,3,Young Control,Male,No,17,1,0,0,0,0,1,2,video2_cred_anna,cred_anna,61,2,1.030557825,3,1,0,1
63,R_139WbdH6CicUlXj,Young Control,harm_cham,2,2,Young Control,Male,No,17,1,0,0,0,0,1,2,video3_cred_cham,cred_cham,66,3,1.206383257,3,1,0,1
64,R_139WbdH6CicUlXj,Young Control,harm_fab,2,2,Young Control,Male,No,17,1,0,0,0,0,1,2,video4_cred_fab,cred_fab,63,4,1.100887998,3,1,0,1
65,R_139WbdH6CicUlXj,Young Control,harm_mae,1,1,Young Control,Male,No,17,1,0,0,0,0,1,2,video5_cred_mae,cred_mae,63,5,1.100887998,3,1,0,1
66,R_139WbdH6CicUlXj,Young Control,harm_zanx,3,3,Young Control,Male,No,17,1,0,0,0,0,1,2,video6_cred_zanx,cred_zanx,66,6,1.206383257,3,1,0,1
67,R_15Hm59U14eJ4REm,Old Control,harm_aby,2,2,Old Control,Female,Yes,15,1,0,0,0,0,1,2,video1_cred_aby,cred_aby,12,1,-0.692531412,1,0,0,0
68,R_15Hm59U14eJ4REm,Old Control,harm_anna,2,2,Old Control,Female,Yes,15,1,0,0,0,0,1,2,video2_cred_anna,cred_anna,42,2,0.362421182,1,0,0,1
69,R_15Hm59U14eJ4REm,Old Control,harm_cham,5,5,Old Control,Female,Yes,15,1,0,0,0,0,1,2,video3_cred_cham,cred_cham,28,3,-0.129890028,1,0,0,1
70,R_15Hm59U14eJ4REm,Old Control,harm_fab,2,2,Old Control,Female,Yes,15,1,0,0,0,0,1,2,video4_cred_fab,cred_fab,46,4,0.503081528,1,0,0,1
71,R_15Hm59U14eJ4REm,Old Control,harm_mae,1,1,Old Control,Female,Yes,15,1,0,0,0,0,1,2,video5_cred_mae,cred_mae,14,5,-0.622201239,1,0,0,0
72,R_15Hm59U14eJ4REm,Old Control,harm_zanx,2,2,Old Control,Female,Yes,15,1,0,0,0,0,1,2,video6_cred_zanx,cred_zanx,41,6,0.327256096,1,0,0,1
73,R_15hSSpnglqS2tQR,Young Treat,harm_aby,NA,NA,Young Treat,Male,NA,17,1,0,0,0,0,1,2,video1_cred_aby,cred_aby,0,1,-1.114512449,3,0,0,0
74,R_15hSSpnglqS2tQR,Young Treat,harm_anna,1,1,Young Treat,Male,NA,17,1,0,0,0,0,1,2,video2_cred_anna,cred_anna,0,2,-1.114512449,3,0,0,0
75,R_15hSSpnglqS2tQR,Young Treat,harm_cham,2,2,Young Treat,Male,NA,17,1,0,0,0,0,1,2,video3_cred_cham,cred_cham,0,3,-1.114512449,3,0,0,0
76,R_15hSSpnglqS2tQR,Young Treat,harm_fab,1,1,Young Treat,Male,NA,17,1,0,0,0,0,1,2,video4_cred_fab,cred_fab,0,4,-1.114512449,3,0,0,0
77,R_15hSSpnglqS2tQR,Young Treat,harm_mae,5,5,Young Treat,Male,NA,17,1,0,0,0,0,1,2,video5_cred_mae,cred_mae,0,5,-1.114512449,3,0,0,0
78,R_15hSSpnglqS2tQR,Young Treat,harm_zanx,2,2,Young Treat,Male,NA,17,1,0,0,0,0,1,2,video6_cred_zanx,cred_zanx,0,6,-1.114512449,3,0,0,0
79,R_15sc4l7OmrOwoAS,Old Treat,harm_aby,5,5,Old Treat,Male,Yes,17,0,0,0,0,1,1,2,video1_cred_aby,cred_aby,100,1,2.401996197,1,0,0,1
80,R_15sc4l7OmrOwoAS,Old Treat,harm_anna,5,5,Old Treat,Male,Yes,17,0,0,0,0,1,1,2,video2_cred_anna,cred_anna,93,2,2.155840591,1,0,0,1
81,R_15sc4l7OmrOwoAS,Old Treat,harm_cham,5,5,Old Treat,Male,Yes,17,0,0,0,0,1,1,2,video3_cred_cham,cred_cham,87,3,1.944850073,1,0,0,1
82,R_15sc4l7OmrOwoAS,Old Treat,harm_fab,2,2,Old Treat,Male,Yes,17,0,0,0,0,1,1,2,video4_cred_fab,cred_fab,9,4,-0.798026671,1,0,0,0
83,R_15sc4l7OmrOwoAS,Old Treat,harm_mae,5,5,Old Treat,Male,Yes,17,0,0,0,0,1,1,2,video5_cred_mae,cred_mae,93,5,2.155840591,1,0,0,1
84,R_15sc4l7OmrOwoAS,Old Treat,harm_zanx,5,5,Old Treat,Male,Yes,17,0,0,0,0,1,1,2,video6_cred_zanx,cred_zanx,98,6,2.331666024,1,0,0,1
85,R_164Jvs7pYfpjW0D,Young Control,harm_aby,2,2,Young Control,Male,No,16,0,1,0,0,0,0,2,video1_cred_aby,cred_aby,8,1,-0.833191758,2,0,0,0
86,R_164Jvs7pYfpjW0D,Young Control,harm_anna,2,2,Young Control,Male,No,16,0,1,0,0,0,0,2,video2_cred_anna,cred_anna,3,2,-1.00901719,2,0,0,0
87,R_164Jvs7pYfpjW0D,Young Control,harm_cham,2,2,Young Control,Male,No,16,0,1,0,0,0,0,2,video3_cred_cham,cred_cham,0,3,-1.114512449,2,0,0,0
88,R_164Jvs7pYfpjW0D,Young Control,harm_fab,3,3,Young Control,Male,No,16,0,1,0,0,0,0,2,video4_cred_fab,cred_fab,12,4,-0.692531412,2,0,0,0
89,R_164Jvs7pYfpjW0D,Young Control,harm_mae,2,2,Young Control,Male,No,16,0,1,0,0,0,0,2,video5_cred_mae,cred_mae,0,5,-1.114512449,2,0,0,0
90,R_164Jvs7pYfpjW0D,Young Control,harm_zanx,2,2,Young Control,Male,No,16,0,1,0,0,0,0,2,video6_cred_zanx,cred_zanx,12,6,-0.692531412,2,0,0,0
91,R_168XlyYj0t89cYp,Young Treat,harm_aby,3,3,Young Treat,Female,Yes,16,0,0,0,0,1,0,2,video1_cred_aby,cred_aby,50,1,0.643741874,1,0,0,1
92,R_168XlyYj0t89cYp,Young Treat,harm_anna,3,3,Young Treat,Female,Yes,16,0,0,0,0,1,0,2,video2_cred_anna,cred_anna,39,2,0.256925923,1,0,0,1
93,R_168XlyYj0t89cYp,Young Treat,harm_cham,3,3,Young Treat,Female,Yes,16,0,0,0,0,1,0,2,video3_cred_cham,cred_cham,46,3,0.503081528,1,0,0,1
94,R_168XlyYj0t89cYp,Young Treat,harm_fab,3,3,Young Treat,Female,Yes,16,0,0,0,0,1,0,2,video4_cred_fab,cred_fab,42,4,0.362421182,1,0,0,1
95,R_168XlyYj0t89cYp,Young Treat,harm_mae,3,3,Young Treat,Female,Yes,16,0,0,0,0,1,0,2,video5_cred_mae,cred_mae,50,5,0.643741874,1,0,0,1
96,R_168XlyYj0t89cYp,Young Treat,harm_zanx,3,3,Young Treat,Female,Yes,16,0,0,0,0,1,0,2,video6_cred_zanx,cred_zanx,38,6,0.221760836,1,0,0,1
97,R_16AV4E5hNWpO2Jz,Old Treat,harm_aby,2,2,Old Treat,Male,Yes,15,0,0,1,0,0,0,2,video1_cred_aby,cred_aby,89,1,2.015180246,3,1,0,1
98,R_16AV4E5hNWpO2Jz,Old Treat,harm_anna,2,2,Old Treat,Male,Yes,15,0,0,1,0,0,0,2,video2_cred_anna,cred_anna,80,2,1.698694468,3,1,0,1
99,R_16AV4E5hNWpO2Jz,Old Treat,harm_cham,2,2,Old Treat,Male,Yes,15,0,0,1,0,0,0,2,video3_cred_cham,cred_cham,84,3,1.839354813,3,1,0,1
100,R_16AV4E5hNWpO2Jz,Old Treat,harm_fab,2,2,Old Treat,Male,Yes,15,0,0,1,0,0,0,2,video4_cred_fab,cred_fab,88,4,1.980015159,3,1,0,1
101,R_16AV4E5hNWpO2Jz,Old Treat,harm_mae,2,2,Old Treat,Male,Yes,15,0,0,1,0,0,0,2,video5_cred_mae,cred_mae,84,5,1.839354813,3,1,0,1
102,R_16AV4E5hNWpO2Jz,Old Treat,harm_zanx,2,2,Old Treat,Male,Yes,15,0,0,1,0,0,0,2,video6_cred_zanx,cred_zanx,90,6,2.050345332,3,1,0,1
103,R_16eTFdIjKP5gM4R,Young Control,harm_aby,1,1,Young Control,Female,Yes,17,0,0,0,0,1,1,2,video1_cred_aby,cred_aby,10,1,-0.762861585,1,0,0,0
104,R_16eTFdIjKP5gM4R,Young Control,harm_anna,1,1,Young Control,Female,Yes,17,0,0,0,0,1,1,2,video2_cred_anna,cred_anna,6,2,-0.903521931,1,0,0,0
105,R_16eTFdIjKP5gM4R,Young Control,harm_cham,1,1,Young Control,Female,Yes,17,0,0,0,0,1,1,2,video3_cred_cham,cred_cham,40,3,0.292091009,1,0,0,1
106,R_16eTFdIjKP5gM4R,Young Control,harm_fab,1,1,Young Control,Female,Yes,17,0,0,0,0,1,1,2,video4_cred_fab,cred_fab,0,4,-1.114512449,1,0,0,0
107,R_16eTFdIjKP5gM4R,Young Control,harm_mae,1,1,Young Control,Female,Yes,17,0,0,0,0,1,1,2,video5_cred_mae,cred_mae,3,5,-1.00901719,1,0,0,0
108,R_16eTFdIjKP5gM4R,Young Control,harm_zanx,1,1,Young Control,Female,Yes,17,0,0,0,0,1,1,2,video6_cred_zanx,cred_zanx,0,6,-1.114512449,1,0,0,0
109,R_16hGQxhUhGdn4kz,Old Control,harm_aby,1,1,Old Control,Female,No,14,0,1,0,0,0,1,1,video1_cred_aby,cred_aby,31,1,-0.024394769,1,0,0,1
110,R_16hGQxhUhGdn4kz,Old Control,harm_anna,1,1,Old Control,Female,No,14,0,1,0,0,0,1,1,video2_cred_anna,cred_anna,12,2,-0.692531412,1,0,0,0
111,R_16hGQxhUhGdn4kz,Old Control,harm_cham,1,1,Old Control,Female,No,14,0,1,0,0,0,1,1,video3_cred_cham,cred_cham,13,3,-0.657366325,1,0,0,0
112,R_16hGQxhUhGdn4kz,Old Control,harm_fab,1,1,Old Control,Female,No,14,0,1,0,0,0,1,1,video4_cred_fab,cred_fab,53,4,0.749237133,1,0,0,1
113,R_16hGQxhUhGdn4kz,Old Control,harm_mae,1,1,Old Control,Female,No,14,0,1,0,0,0,1,1,video5_cred_mae,cred_mae,0,5,-1.114512449,1,0,0,0
114,R_16hGQxhUhGdn4kz,Old Control,harm_zanx,1,1,Old Control,Female,No,14,0,1,0,0,0,1,1,video6_cred_zanx,cred_zanx,0,6,-1.114512449,1,0,0,0
115,R_16hSK87pBBzBSEN,Old Treat,harm_aby,2,2,Old Treat,Female,Yes,15,0,0,1,0,0,0,3,video1_cred_aby,cred_aby,NA,1,NA,3,1,1,NA
116,R_16hSK87pBBzBSEN,Old Treat,harm_anna,2,2,Old Treat,Female,Yes,15,0,0,1,0,0,0,3,video2_cred_anna,cred_anna,NA,2,NA,3,1,1,NA
117,R_16hSK87pBBzBSEN,Old Treat,harm_cham,2,2,Old Treat,Female,Yes,15,0,0,1,0,0,0,3,video3_cred_cham,cred_cham,NA,3,NA,3,1,1,NA
118,R_16hSK87pBBzBSEN,Old Treat,harm_fab,2,2,Old Treat,Female,Yes,15,0,0,1,0,0,0,3,video4_cred_fab,cred_fab,NA,4,NA,3,1,1,NA
119,R_16hSK87pBBzBSEN,Old Treat,harm_mae,2,2,Old Treat,Female,Yes,15,0,0,1,0,0,0,3,video5_cred_mae,cred_mae,NA,5,NA,3,1,1,NA
