,ResponseId,Condition,influencer_video,vape_cool,vape_attr,video_id,influencer,credibility_median,video_number,credibility_median_rescale,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,vape_appeal,vape_appeal_sum,vape_appeal_pretest_sum,vape_appeal_pretest_3cat,vape_appeal_t3,Ethnicity,Sex,sm_freq_use,sub_30dayuse,credibility_median_binary
40,R_12JY551bWcJUOoZ,Young Control,fab,0,0,video4_cred_fab,cred_fab,38,4,0.221760836,Female,No,3,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,2,0,1
41,R_12JY551bWcJUOoZ,Young Control,mae,1,2,video5_cred_mae,cred_mae,25,5,-0.235385288,Female,No,3,0,1,0,0,0,0,1.5,3,0,Low,Moderate,No,Female,2,0,1
42,R_12JY551bWcJUOoZ,Young Control,zanx,0,0,video6_cred_zanx,cred_zanx,0,6,-1.114512449,Female,No,3,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,2,0,0
43,R_12Phd55lrFTOKoM,Young Treat,aby,6,6,video1_cred_aby,cred_aby,82,1,1.76902464,Male,Yes,2,0,0,1,0,0,1,6,12,10,High,High,Yes,Male,1,1,1
44,R_12Phd55lrFTOKoM,Young Treat,anna,5,6,video2_cred_anna,cred_anna,77,2,1.593199208,Male,Yes,2,0,0,1,0,0,1,5.5,11,10,High,High,Yes,Male,1,1,1
45,R_12Phd55lrFTOKoM,Young Treat,cham,5,6,video3_cred_cham,cred_cham,81,3,1.733859554,Male,Yes,2,0,0,1,0,0,1,5.5,11,10,High,High,Yes,Male,1,1,1
46,R_12Phd55lrFTOKoM,Young Treat,fab,5,6,video4_cred_fab,cred_fab,79,4,1.663529381,Male,Yes,2,0,0,1,0,0,1,5.5,11,10,High,High,Yes,Male,1,1,1
47,R_12Phd55lrFTOKoM,Young Treat,mae,5,5,video5_cred_mae,cred_mae,74,5,1.487703949,Male,Yes,2,0,0,1,0,0,1,5,10,10,High,High,Yes,Male,1,1,1
48,R_12Phd55lrFTOKoM,Young Treat,zanx,5,6,video6_cred_zanx,cred_zanx,77,6,1.593199208,Male,Yes,2,0,0,1,0,0,1,5.5,11,10,High,High,Yes,Male,1,1,1
49,R_12obhNJnIhOVhFE,Old Treat,aby,7,2,video1_cred_aby,cred_aby,52,1,0.714072047,Female,No,4,0,1,0,1,0,0,4.5,9,0,Low,High,No,Female,1,0,1
50,R_12obhNJnIhOVhFE,Old Treat,anna,7,7,video2_cred_anna,cred_anna,7,2,-0.868356844,Female,No,4,0,1,0,1,0,0,7,14,0,Low,High,No,Female,1,0,0
51,R_12obhNJnIhOVhFE,Old Treat,cham,0,0,video3_cred_cham,cred_cham,100,3,2.401996197,Female,No,4,0,1,0,1,0,0,0,0,0,Low,Low,No,Female,1,0,1
52,R_12obhNJnIhOVhFE,Old Treat,fab,3,2,video4_cred_fab,cred_fab,30,4,-0.059559855,Female,No,4,0,1,0,1,0,0,2.5,5,0,Low,High,No,Female,1,0,1
53,R_12obhNJnIhOVhFE,Old Treat,mae,5,7,video5_cred_mae,cred_mae,55,5,0.819567306,Female,No,4,0,1,0,1,0,0,6,12,0,Low,High,No,Female,1,0,1
54,R_12obhNJnIhOVhFE,Old Treat,zanx,7,2,video6_cred_zanx,cred_zanx,75,6,1.522869035,Female,No,4,0,1,0,1,0,0,4.5,9,0,Low,High,No,Female,1,0,1
55,R_12z7P7EazBAxlGy,Old Control,aby,5,5,video1_cred_aby,cred_aby,73,1,1.452538862,Male,No,3,1,0,0,0,0,1,5,10,8,Moderate,High,No,Male,2,1,1
56,R_12z7P7EazBAxlGy,Old Control,anna,5,5,video2_cred_anna,cred_anna,69,2,1.311878516,Male,No,3,1,0,0,0,0,1,5,10,8,Moderate,High,No,Male,2,1,1
57,R_12z7P7EazBAxlGy,Old Control,cham,5,4,video3_cred_cham,cred_cham,70,3,1.347043603,Male,No,3,1,0,0,0,0,1,4.5,9,8,Moderate,High,No,Male,2,1,1
58,R_12z7P7EazBAxlGy,Old Control,fab,5,4,video4_cred_fab,cred_fab,77,4,1.593199208,Male,No,3,1,0,0,0,0,1,4.5,9,8,Moderate,High,No,Male,2,1,1
59,R_12z7P7EazBAxlGy,Old Control,mae,6,5,video5_cred_mae,cred_mae,83,5,1.804189727,Male,No,3,1,0,0,0,0,1,5.5,11,8,Moderate,High,No,Male,2,1,1
60,R_12z7P7EazBAxlGy,Old Control,zanx,5,6,video6_cred_zanx,cred_zanx,76,6,1.558034122,Male,No,3,1,0,0,0,0,1,5.5,11,8,Moderate,High,No,Male,2,1,1
61,R_139WbdH6CicUlXj,Young Control,aby,4,5,video1_cred_aby,cred_aby,62,1,1.065722911,Male,No,4,1,0,0,0,0,1,4.5,9,10,High,High,No,Male,3,1,1
62,R_139WbdH6CicUlXj,Young Control,anna,5,4,video2_cred_anna,cred_anna,61,2,1.030557825,Male,No,4,1,0,0,0,0,1,4.5,9,10,High,High,No,Male,3,1,1
63,R_139WbdH6CicUlXj,Young Control,cham,4,5,video3_cred_cham,cred_cham,66,3,1.206383257,Male,No,4,1,0,0,0,0,1,4.5,9,10,High,High,No,Male,3,1,1
64,R_139WbdH6CicUlXj,Young Control,fab,4,5,video4_cred_fab,cred_fab,63,4,1.100887998,Male,No,4,1,0,0,0,0,1,4.5,9,10,High,High,No,Male,3,1,1
65,R_139WbdH6CicUlXj,Young Control,mae,5,4,video5_cred_mae,cred_mae,63,5,1.100887998,Male,No,4,1,0,0,0,0,1,4.5,9,10,High,High,No,Male,3,1,1
66,R_139WbdH6CicUlXj,Young Control,zanx,4,5,video6_cred_zanx,cred_zanx,66,6,1.206383257,Male,No,4,1,0,0,0,0,1,4.5,9,10,High,High,No,Male,3,1,1
67,R_15Hm59U14eJ4REm,Old Control,aby,0,0,video1_cred_aby,cred_aby,12,1,-0.692531412,Female,Yes,2,1,0,0,0,0,1,0,0,0,Low,Low,Yes,Female,1,0,0
68,R_15Hm59U14eJ4REm,Old Control,anna,0,0,video2_cred_anna,cred_anna,42,2,0.362421182,Female,Yes,2,1,0,0,0,0,1,0,0,0,Low,Low,Yes,Female,1,0,1
